Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.100000	3.520000	6.113000	13.060000	3.275000	10.419000	16.451000	
1.000000	0.099999	3.218000	10.146000	21.967000	3.096000	15.475000	24.595000	
2.000000	0.099998	3.073000	12.573000	26.832000	2.980000	16.615000	25.648000	
3.000000	0.099996	2.971000	14.746000	30.822000	2.815000	18.973000	28.971000	
4.000000	0.099994	2.920000	16.182000	32.329000	2.723000	24.602000	35.413000	
5.000000	0.099992	2.881000	17.214000	34.100000	2.792000	21.609000	31.037000	
6.000000	0.099989	2.869000	17.652000	34.019000	2.814000	19.226000	28.687000	
7.000000	0.099985	2.845000	18.153000	35.128000	2.965000	17.537000	25.000000	
8.000000	0.099981	2.837000	17.991000	34.955000	2.696000	25.526000	36.912000	
9.000000	0.099977	2.836000	17.961000	35.118000	2.826000	19.908000	28.039000	
10.000000	0.099972	2.846000	17.876000	35.016000	2.716000	24.481000	34.562000	
11.000000	0.099966	2.821000	18.952000	36.594000	2.690000	27.112000	39.384000	
12.000000	0.099960	2.815000	18.733000	35.810000	2.820000	20.200000	30.308000	
13.000000	0.099954	2.798000	18.982000	36.431000	2.757000	24.301000	34.643000	
14.000000	0.099947	2.786000	19.716000	37.195000	2.698000	21.995000	32.212000	
15.000000	0.099940	2.792000	19.728000	37.327000	2.715000	27.762000	37.318000	
16.000000	0.099932	2.794000	20.047000	37.337000	2.924000	18.200000	26.418000	
17.000000	0.099924	2.794000	19.467000	37.001000	2.675000	25.453000	35.413000	
18.000000	0.099915	2.773000	20.239000	38.101000	2.710000	24.795000	33.793000	
19.000000	0.099906	2.792000	19.730000	37.276000	2.699000	27.439000	38.614000	
20.000000	0.099897	2.772000	19.853000	37.602000	2.599000	30.202000	42.301000	
21.000000	0.099887	2.767000	20.546000	38.060000	2.556000	31.345000	41.653000	
22.000000	0.099876	2.762000	21.160000	38.813000	2.766000	24.412000	35.332000	
23.000000	0.099865	2.754000	21.163000	39.098000	2.653000	28.489000	39.708000	
24.000000	0.099854	2.752000	21.603000	39.017000	2.559000	29.656000	42.261000	
25.000000	0.099842	2.738000	21.172000	39.353000	2.621000	29.492000	39.789000	
26.000000	0.099829	2.733000	21.981000	39.831000	2.582000	30.803000	43.882000	
27.000000	0.099816	2.728000	22.030000	39.882000	2.651000	28.281000	39.546000	
28.000000	0.099803	2.710000	22.127000	40.696000	2.597000	30.590000	43.193000	
29.000000	0.099789	2.703000	23.672000	41.226000	2.537000	33.420000	45.908000	
30.000000	0.099775	2.706000	22.945000	41.042000	2.699000	28.371000	37.439000	
31.000000	0.099760	2.708000	22.629000	40.574000	2.680000	27.115000	38.452000	
32.000000	0.099745	2.672000	23.865000	42.172000	2.518000	33.240000	46.151000	
33.000000	0.099729	2.669000	24.632000	42.844000	2.740000	25.512000	37.925000	
34.000000	0.099713	2.678000	24.492000	42.814000	2.533000	31.025000	42.869000	
35.000000	0.099697	2.667000	24.690000	42.915000	3.041000	21.686000	28.768000	
36.000000	0.099679	2.653000	25.032000	43.333000	2.711000	28.448000	40.194000	
37.000000	0.099662	2.660000	24.831000	42.925000	2.635000	30.762000	40.640000	
38.000000	0.099644	2.642000	25.741000	43.709000	2.420000	37.375000	49.473000	
39.000000	0.099625	2.624000	26.416000	44.656000	2.666000	26.487000	37.844000	
40.000000	0.099607	2.634000	26.613000	44.829000	2.493000	35.436000	45.178000	
41.000000	0.099587	2.635000	26.191000	44.218000	2.790000	25.563000	34.724000	
42.000000	0.099567	2.604000	26.723000	44.860000	2.671000	30.950000	40.478000	
43.000000	0.099547	2.614000	26.953000	45.399000	2.470000	36.634000	47.164000	
44.000000	0.099526	2.603000	26.952000	45.063000	2.454000	34.335000	45.948000	
45.000000	0.099505	2.613000	27.291000	45.206000	2.528000	31.247000	43.355000	
46.000000	0.099483	2.594000	27.703000	45.399000	2.819000	26.204000	35.170000	
47.000000	0.099461	2.577000	27.241000	45.257000	2.691000	28.595000	36.912000	
48.000000	0.099438	2.565000	29.182000	46.987000	2.515000	35.260000	45.016000	
49.000000	0.099415	2.548000	29.813000	47.771000	2.448000	35.879000	46.515000	
50.000000	0.099392	2.562000	29.225000	46.804000	3.041000	19.183000	27.998000	
51.000000	0.099368	2.537000	30.383000	47.873000	2.422000	40.375000	49.716000	
52.000000	0.099343	2.540000	30.007000	47.618000	2.369000	41.708000	52.958000	
53.000000	0.099318	2.531000	30.378000	48.208000	2.575000	36.088000	44.571000	
54.000000	0.099293	2.512000	30.889000	48.646000	2.695000	27.287000	35.778000	
55.000000	0.099267	2.505000	31.448000	49.165000	2.386000	37.413000	49.352000	
56.000000	0.099240	2.470000	33.181000	50.784000	2.571000	29.656000	40.276000	
57.000000	0.099214	2.450000	33.585000	51.191000	2.709000	28.961000	40.559000	
58.000000	0.099186	2.454000	33.991000	51.435000	2.487000	37.227000	46.353000	
59.000000	0.099159	2.436000	34.125000	51.456000	2.503000	33.072000	45.948000	
60.000000	0.099130	2.426000	35.240000	52.331000	3.023000	21.657000	28.809000	
61.000000	0.099102	2.405000	35.542000	52.911000	2.708000	27.426000	37.763000	
62.000000	0.099073	2.396000	36.678000	53.858000	2.735000	25.920000	36.305000	
63.000000	0.099043	2.380000	36.838000	53.827000	2.488000	39.375000	49.271000	
64.000000	0.099013	2.382000	37.040000	54.011000	2.596000	32.835000	42.139000	
65.000000	0.098983	2.359000	37.785000	54.825000	2.934000	21.549000	29.781000	
66.000000	0.098952	2.333000	39.223000	56.525000	2.373000	40.027000	52.188000	
67.000000	0.098920	2.329000	38.060000	55.273000	2.663000	33.483000	42.423000	
68.000000	0.098888	2.298000	40.716000	57.533000	2.469000	38.105000	46.961000	
69.000000	0.098856	2.283000	41.995000	58.265000	2.564000	34.452000	42.909000	
70.000000	0.098823	2.288000	41.039000	57.848000	2.337000	37.142000	51.459000	
71.000000	0.098790	2.274000	41.147000	57.950000	2.444000	42.398000	49.392000	
72.000000	0.098756	2.278000	42.132000	58.622000	2.479000	35.515000	45.989000	
73.000000	0.098722	2.256000	43.109000	59.324000	2.263000	46.078000	56.564000	
74.000000	0.098688	2.246000	43.201000	59.782000	2.354000	44.728000	53.485000	
75.000000	0.098653	2.233000	44.642000	60.586000	2.596000	35.591000	42.139000	
76.000000	0.098617	2.220000	44.506000	60.749000	2.367000	40.107000	51.297000	
77.000000	0.098581	2.224000	44.109000	60.444000	2.537000	37.271000	47.042000	
78.000000	0.098545	2.214000	43.967000	60.434000	2.980000	28.269000	34.643000	
79.000000	0.098508	2.212000	45.435000	61.350000	3.852000	8.275000	10.818000	
80.000000	0.098470	2.214000	45.776000	61.584000	2.739000	32.353000	37.966000	
81.000000	0.098433	2.216000	44.564000	60.953000	2.512000	43.724000	50.648000	
